Date,Heating (kWh),Cooling (kWh),Electricity (kWh),Nat Gas (kWh),Domestic Water (m3)
10/1/2018,16244.46,4920.66,13240.1,1319.45,6.39
10/2/2018,17772.24,4882.56,13108.56,1413.89,49.96
10/3/2018,16852.79,5163.91,13307.63,1288.89,101.98
10/4/2018,15450.01,5117.02,12917.94,1422.22,110.85
10/5/2018,13422.23,5225.46,10770.25,1413.89,106.5
10/6/2018,11633.34,5243.04,10623.76,1380.56,94.6
10/7/2018,11255.56,5178.57,11013.11,1327.78,93.07
10/8/2018,15102.79,5187.36,13130.41,1341.67,99.34
10/9/2018,18547.24,5313.38,12965.9,1272.22,106.82
10/10/2018,16936.12,5459.91,13287.64,1305.56,111.36
10/11/2018,14272.23,5442.33,12903.92,1244.45,94.27
10/12/2018,10219.45,5319.24,11309.64,1216.67,108.24
10/13/2018,15433.35,5676.79,11046.54,1244.45,94.08
10/14/2018,12605.57,5134.61,13375.38,1236.11,94.76
10/15/2018,7911.12,5310.45,13900.05,1255.56,51.86
10/16/2018,7652.78,9176.06,13740.8,1341.67,19.9
10/17/2018,5794.45,7402.98,13641.58,1244.45,7.34
10/18/2018,5705.56,5653.34,13419.17,1213.89,14.44
10/19/2018,6672.23,5248.9,11447.12,1141.67,10.27
10/20/2018,5666.67,4973.42,11654.82,1111.11,12.71
10/21/2018,6886.12,5354.41,13777.07,1119.45,2.91
10/22/2018,7616.67,5547.84,13574.19,1111.11,9.17
10/23/2018,7927.78,5498.01,13154.3,1172.22,6.14
10/24/2018,8511.12,5788.15,13508.66,1180.56,13.25
10/25/2018,9977.79,5225.46,13139.24,1183.33,8.94
10/26/2018,10341.67,5363.2,10974,1147.22,7.7
10/27/2018,11608.34,5202.01,11063.3,1200,0.09
10/28/2018,11777.79,5228.39,13139.72,1288.89,7.11
10/29/2018,10019.45,5108.23,13720.34,1241.67,8.5
10/30/2018,12461.12,5483.36,13458.08,1188.89,13.04
10/31/2018,12397.23,5313.38,13574.39,1127.78,15.84
11/1/2018,13280.57,5823.32,13240,,19.64
11/2/2018,14811.12,5738.33,11285.85,,12.48
11/3/2018,13183.34,5366.13,12006.54,,3.19
11/4/2018,14141.68,5653.34,13164,,0.19
11/5/2018,19547.24,5544.9,13511.28,,19.51
11/6/2018,22169.46,5058.41,13230.99,,11.1
11/7/2018,21608.35,5058.41,13338.74,,15.42
11/8/2018,21422.24,4988.07,12869.34,,14.71
11/9/2018,15427.79,5011.52,11000.28,,18.09
11/10/2018,14444.46,4917.73,10929.91,,0.84
11/11/2018,17247.24,5020.31,11332.46,,0.02
11/12/2018,15369.46,4703.79,12431.1,,0.97
11/13/2018,9550.01,4513.29,12798.18,,13.44
11/14/2018,9483.34,4903.08,12572.35,,7.75
11/15/2018,11480.56,4917.73,12737.68,,4.9
11/16/2018,21116.68,4568.98,11118.75,,9.28
11/17/2018,19758.35,4791.71,11034.01,,7.37
11/18/2018,12472.23,4642.25,13102.98,,1.12
11/19/2018,12061.12,4794.64,13447.5,,5.72
11/20/2018,10255.56,4797.57,13189.73,,7.08
11/21/2018,11325.01,4736.03,13461.05,,12.68
11/22/2018,11752.79,4733.1,12958.09,,8.63
11/23/2018,15486.12,4568.98,10967.24,,6.92
11/24/2018,16363.9,4475.2,10871.89,,1.84
11/25/2018,15786.12,4797.57,13093.18,,6.75
11/26/2018,12886.12,4683.28,13682.48,,5.91
11/27/2018,11041.68,4903.08,13375.33,,5.89
11/28/2018,11827.79,4876.7,13630.79,,8.3
11/29/2018,14252.79,4955.83,12940.5,,18.62
11/30/2018,16055.57,4949.97,10951.47,,6.01
12/1/2018,16277.79,4859.12,10809.76,,2.49
12/2/2018,16544.46,4873.77,12891.28,,0.01
12/3/2018,18502.79,4777.06,13120.01,,12.32
12/4/2018,18694.46,4973.42,12871.01,,8.88
12/5/2018,22466.68,4750.68,13092.1,,7.08
12/6/2018,23644.46,4935.32,12781.05,,4.73
12/7/2018,19911.13,5061.34,11015.42,,12.25
12/8/2018,18575.01,4771.2,10988.12,,0.04
12/9/2018,14891.68,4621.73,12445.41,,0.98
12/10/2018,12322.23,4791.71,12453.2,,3.67
12/11/2018,14872.23,4958.76,12218.33,,8.89
12/12/2018,13833.34,5146.33,12311.8,,2.3
12/13/2018,13158.34,5114.09,12597.84,,1.71
12/14/2018,10102.79,4999.79,11054.95,,3.5
12/15/2018,12786.12,5090.64,10665.75,,6.71
12/16/2018,15152.79,5020.31,12656.33,,0.02
12/17/2018,11838.9,5023.24,12556.42,,2.83
12/18/2018,11638.9,5032.03,12655.27,,3.38
12/19/2018,11955.57,4853.26,12391.63,,10.65
12/20/2018,11436.12,4809.3,11976.12,,3.4
12/21/2018,12836.12,4876.7,10699.94,,2.37
12/22/2018,17016.68,4961.69,10554.38,,0.01
12/23/2018,15444.46,4888.43,10789.79,,6.67
12/24/2018,18311.13,4879.63,10860.7,,0.01
12/25/2018,17277.79,5020.31,10837.45,,0.01
12/26/2018,18694.46,4979.28,10863.85,,0.59
12/27/2018,19094.46,4850.33,10800.03,,6.7
12/28/2018,17961.13,4381.41,10628.48,,0.62
12/29/2018,12816.68,4557.26,10497.18,,0
12/30/2018,19133.35,4692.07,10768.75,,0.01
12/31/2018,23016.69,4542.6,10850.73,,6.77
1/1/2019,14030.57,4478.13,12166.02,,0.01
1/2/2019,8691.67,4615.87,12005.35,,1.84
1/3/2019,9933.34,4387.27,11876.57,,1.51
1/4/2019,11463.9,4554.32,10598.96,,10.43
1/5/2019,17419.46,4721.37,10618.96,,0
1/6/2019,15236.12,4750.68,12136.08,,0.01
1/7/2019,20163.91,4774.13,11997.28,,4.57
1/8/2019,22008.35,4422.44,12261.88,,8.84
1/9/2019,20441.68,4475.2,12497.7,,5.43
1/10/2019,16136.12,4636.38,12439.21,,4.41
1/11/2019,14730.57,4504.5,11279.19,,2.73
1/12/2019,12088.9,4589.49,10862.58,,7.07
1/13/2019,13369.46,4527.95,12685.74,,1.22
1/14/2019,14258.34,4413.65,12996.6,,3.8
1/15/2019,19102.79,4583.63,12835.51,,5.81
